                          R0000100    HIN_Endorsed0321   ROCU_Endorsed0321  DRSEE_Endorsed0308            NMI_B18
                          HIN_97            Hispanic               White               Black              AIndian
nbr.val      8961.00000000000000 8961.00000000000000 8961.00000000000000 8961.00000000000000 8961.000000000000000
nbr.null     1213.00000000000000 7064.00000000000000 3682.00000000000000 6570.00000000000000 8900.000000000000000
nbr.na          0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.000000000000000
min             0.00000000000000    0.00000000000000    0.00000000000000    0.00000000000000    0.000000000000000
max             1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.000000000000000
range           1.00000000000000    1.00000000000000    1.00000000000000    1.00000000000000    1.000000000000000
sum          7748.00000000000000 1897.00000000000000 5279.00000000000000 2391.00000000000000   61.000000000000000
median          1.00000000000000    0.00000000000000    1.00000000000000    0.00000000000000    0.000000000000000
mean            0.86463564334338    0.21169512331213    0.58910835844214    0.26682289923000    0.006807275973664
SE.mean         0.00361422116072    0.00431567297969    0.00519765250558    0.00467263643074    0.000868659230065
CI.mean.0.95    0.00708470034418    0.00845970638899    0.01018858804086    0.00915943641990    0.001702770824624
var             0.11705391019816    0.16689892311126    0.24208671604732    0.19565027320771    0.006761691536340
std.dev         0.34213142240689    0.40853264632249    0.49202308487236    0.44232371992434    0.082229505266297
coef.var        0.39569433094839    1.92981604833731    0.83519963317697    1.65774272448434   12.079649126086720
                           Asian               Other                Male                AGE97               Sample
nbr.val      8961.00000000000000 8961.00000000000000 8961.00000000000000   8961.0000000000000  8961.00000000000000
nbr.null     8804.00000000000000 7888.00000000000000 4376.00000000000000      0.0000000000000     0.00000000000000
nbr.na          0.00000000000000    0.00000000000000    0.00000000000000      0.0000000000000     0.00000000000000
min             0.00000000000000    0.00000000000000    0.00000000000000     12.0000000000000     1.00000000000000
max             1.00000000000000    1.00000000000000    1.00000000000000     17.0000000000000     2.00000000000000
range           1.00000000000000    1.00000000000000    1.00000000000000      5.0000000000000     1.00000000000000
sum           157.00000000000000 1073.00000000000000 4585.00000000000000 128859.0000000000000 11193.00000000000000
median          0.00000000000000    0.00000000000000    1.00000000000000     14.0000000000000     1.00000000000000
mean            0.01752036603058    0.11974110032362    0.51166164490570     14.3799799129561     1.24907934382323
SE.mean         0.00138605148024    0.00342983185658    0.00528077719817      0.0156461014178     0.00456890236095
CI.mean.0.95    0.00271697800507    0.00672325512308    0.01035153145580      0.0306699383271     0.00895609391061
var             0.01721532394344    0.10541493296348    0.24989189264591      2.1936571870965     0.18705969917261
std.dev         0.13120717946605    0.32467665909867    0.49989188095618      1.4810999922681     0.43250398746440
coef.var        7.48883780379181    2.71148885571595    0.97699697824391      0.1029973616955     0.34625821778509
                           PIB16               BMEA97               BFEA97          RPHEALTH97               BBPHH
nbr.val      8961.00000000000000   8961.0000000000000   8961.0000000000000  8961.0000000000000 8961.00000000000000
nbr.null     8390.00000000000000      0.0000000000000      0.0000000000000     0.0000000000000 4580.00000000000000
nbr.na          0.00000000000000      0.0000000000000      0.0000000000000     0.0000000000000    0.00000000000000
